15,95
15,96
15,97
15,98
15,99
16,1
16,2
16,3
16,4
16,5
16,6
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,17
16,18
16,19
16,20
16,21
16,22
16,23
16,24
16,25
16,26
16,27
16,28
16,29
16,30
16,31
16,32
16,33
16,34
16,35
16,36
16,37
16,38
16,39
16,40
16,41
16,42
16,43
16,44
16,45
16,46
16,47
16,48
16,49
16,50
16,51
16,52
16,53
16,54
16,55
16,56
16,57
16,58
16,59
16,60
16,61
16,62
16,63
16,64
16,65
16,66
16,67
16,68
16,69
16,70
16,71
16,72
16,73
16,74
16,75
16,76
16,77
16,78
16,79
16,80
16,81
16,82
16,83
16,84
16,85
16,86
16,87
16,88
16,89
16,90
16,91
16,92
16,93
16,94
16,95
16,96
16,97
16,98
16,99
26,226
27,4
27,5
27,6
27,12
27,13
27,17
27,18
27,25
27,26
27,31
27,36
27,42
27,48
27,58
27,59
27,60
27,61
27,69
27,77
27,82
27,86
28,1
28,71
28,79
28,84
28,88
29,8
29,15
29,22
29,29
30,26
30,31
39,75
41,53
42,4
42,22
42,27
42,37
42,45
42,52
43,30
43,38
43,46
43,47
43,55
43,62
43,72
43,80
43,89
44,4
44,8
44,9
44,16
44,24
47,2
47,24
48,16
49,4
49,8
50,23
51,22
51,56
53,22
53,31
53,37
53,43
53,49
53,59
54,10
54,21
114,2
114,3
114,4
114,5
114,6
26,226
27,4
27,5
27,6
27,12
27,13
27,17
27,18
27,25
27,26
27,31
27,36
27,42
27,48
27,58
27,59
27,60
27,61
27,69
27,77
27,82
27,86
28,1
28,71
28,79
28,84
28,88
29,8
29,15
29,22
29,29
30,26
30,31
39,75
41,53
42,4
42,22
42,27
42,37
42,45
42,52
43,30
43,38
43,46
43,47
43,55
43,62
43,72
43,80
43,89
44,4
44,8
44,9
44,16
44,24
47,2
47,24
48,16
49,4
49,8
50,23
51,22
51,56
53,22
53,31
53,37
53,43
53,49
53,59
54,10
54,21
114,2
114,3
114,4
114,5
114,6
